PATO:0000000	pato
PATO:0000124	relative length
PATO:0000125	mass
PATO:0000126	absolute mass
PATO:0000127	relative mass
PATO:0000128	weight
PATO:0000129	absolute weight
PATO:0000130	relative weight
PATO:0000131	relative size
PATO:0000133	orientation
PATO:0000134	absolute_angle
PATO:0000135	relative_angle
PATO:0000136	closure
PATO:0000138	absolute orientation
PATO:0000139	relative orientation
PATO:0000140	position
PATO:0000141	structure
PATO:0000142	substance
PATO:0000143	addictive substance
PATO:0000144	solid substance
PATO:0000145	liquid substance
PATO:0000146	temperature
PATO:0000147	absolute temperature
PATO:0000148	body temperature
PATO:0000149	relative temperature
PATO:0000150	texture
PATO:0000151	relative texture
PATO:0000152	threshold
PATO:0000153	absolute threshold
PATO:0000154	pain threshold
PATO:0000155	relative threshold
PATO:0000157	absolute temporal
PATO:0000159	absolute incidence
PATO:0000160	relative incidence
PATO:0000161	rate
PATO:0000162	absolute rate
PATO:0000163	relative rate
PATO:0000164	relative temporal
PATO:0000165	time
PATO:0000166	absolute time
PATO:0000167	bouts
PATO:0000168	relative time
PATO:0000169	viability
PATO:0000170	yield
PATO:0000171	absolute yield
PATO:0000172	relative yield
PATO:0000173	function
PATO:0000174	autonomic function
PATO:0000175	behavioral function
PATO:0000176	metabolic function
PATO:0000177	physiological function
PATO:0000178	relative function
PATO:0000179	body position
PATO:0000180	body tone
PATO:0000181	piloerection
PATO:0000182	abdominal tone
PATO:0000183	limb tone
PATO:0000184	arousal
PATO:0000185	balance
PATO:0000186	behavioral quality
PATO:0000187	consumption quality
PATO:0000188	coordination
PATO:0000189	discrimination
PATO:0000190	gait
PATO:0000191	learning_and memory
PATO:0000192	locomotor_activity
PATO:0000193	mating
PATO:0000194	spontaneous_activity
PATO:0000195	startle response
PATO:0000196	vocalization
PATO:0000197	transfer_arousal
PATO:0000198	absolute consumption
PATO:0000199	relative consumption
PATO:0000200	learning
PATO:0000201	memory
PATO:0000202	long term memory
PATO:0000203	short term memory
PATO:0000204	absolute locomotor_activity
PATO:0000205	relative locomotor_activity
PATO:0000206	enzyme function
PATO:0000207	circulatory function
PATO:0000208	defensive function
PATO:0000209	digestive function
PATO:0000210	excretory function
PATO:0000211	muscle function
PATO:0000212	neural function
PATO:0000213	neurobehavioral function
PATO:0000214	reproductive function
PATO:0000215	respiratory function
PATO:0000216	heart rate
PATO:0000217	immune function
PATO:0000218	repair function
PATO:0000219	healing
PATO:0000220	regeneration
PATO:0000221	urination
PATO:0000222	muscle elevation
PATO:0000223	muscle strength
PATO:0000224	motor function
PATO:0000225	sensory function
PATO:0000226	tactile response
PATO:0000227	motor performance
PATO:0000228	auditory
PATO:0000229	olfactory
PATO:0000230	proprioreception
PATO:0000231	reflex
PATO:0000232	taste
PATO:0000233	touch
PATO:0000234	visual
PATO:0000235	odor_acuity
PATO:0000236	odor type
PATO:0000237	absolute odor_acuity
PATO:0000238	relative odor_acuity
PATO:0000239	blinking reflex
PATO:0000240	contact righting reflex
PATO:0000241	corneal reflex
PATO:0000242	flinch reflex
PATO:0000243	lordosis reflex
PATO:0000244	ocular reflex
PATO:0000245	pinna reflex
PATO:0000246	postural reflex
PATO:0000247	proboscis extension reflex
PATO:0000248	pupillary reflex
PATO:0000249	righting reflex
PATO:0000250	spinal reflex
PATO:0000251	startle reflex
PATO:0000252	suckling reflex
PATO:0000253	swallowing reflex
PATO:0000254	vibrissae reflex
PATO:0000255	taste_acuity
PATO:0000256	taste type
PATO:0000257	absolute taste_acuity
PATO:0000258	relative taste_acuity
PATO:0000259	visual_ability
PATO:0000260	visual_acuity
PATO:0000261	maturity
PATO:0000262	visual placing
PATO:0000263	visual threshold
PATO:0000264	absolute visual_ability
PATO:0000265	relative visual_ability
PATO:0000266	absolute visual_acuity
PATO:0000267	relative visual_acuity
PATO:0000268	absolute visual threshold
PATO:0000269	relative visual threshold
PATO:0000270	defecation
PATO:0000271	prepulse inhibition
PATO:0000272	relative neurobehavioral function
PATO:0000273	fecundity
PATO:0000274	fertility
PATO:0000275	gestational period
PATO:0000276	brood size
PATO:0000277	female fertility
PATO:0000278	hybrid fertility
PATO:0000279	male fertility
PATO:0000280	backcross fertility
PATO:0000281	cytoplasmic sterility
PATO:0000282	f1 fertility
PATO:0000283	f2 fertility
PATO:0000284	germ line dependent fertility
PATO:0000285	soma dependent fertility
PATO:0000286	cytoplasmic male sterility
PATO:0000287	absolute litter size
PATO:0000288	relative litter size
PATO:0000289	respiratory rate
PATO:0000290	absolute respiratory rate
PATO:0000291	relative respiratory rate
PATO:0000292	mobility value
PATO:0000293	absolute activity value
PATO:0000294	process value
PATO:0000295	relative activity value
PATO:0000296	speed value
PATO:0000297	arrested
PATO:0000298	not arrested value
PATO:0000299	mobile
PATO:0000300	immobile
PATO:0000301	absolute speed value
PATO:0000302	relative speed value
PATO:0000303	increased speed
PATO:0000304	decreased speed
PATO:0000305	age value
PATO:0000306	absolute age value
PATO:0000307	relative age value
PATO:0000308	old
PATO:0000309	young
PATO:0000310	color value
PATO:0000311	color hue value
PATO:0000312	color intensity value
PATO:0000313	color saturation value
PATO:0000314	flourescence value
PATO:0000315	color pattern value
PATO:0000316	relative color value
PATO:0000317	black
PATO:0000318	blue
PATO:0000319	cyan
PATO:0000320	green
PATO:0000321	magenta
PATO:0000322	red
PATO:0000323	white
PATO:0000324	yellow
PATO:0000325	bright
PATO:0000326	dim
PATO:0000327	low brightness
PATO:0000328	low saturation
PATO:0000329	blotchy
PATO:0000330	irregular spatial pattern
PATO:0000331	discolored
PATO:0000333	spotted
PATO:0000335	variegated
PATO:0000336	colored
PATO:0000337	colorless
PATO:0000338	compatability value
PATO:0000339	gametophytic compatability value
PATO:0000340	relative compatability value
PATO:0000341	sporophytic compatability value
PATO:0000342	gametophyte compatible value
PATO:0000343	gametophyte incompatible value
PATO:0000344	compatible
PATO:0000345	incompatible
PATO:0000346	sporophyte compatible value
PATO:0000347	sporophyte incompatible value
PATO:0000348	composition value
PATO:0000349	carbohydrate composition value
PATO:0000350	electrolyte composition value
PATO:0000351	macromolecular composition value
PATO:0000352	metabolite composition value
PATO:0000353	secondary product composition value
PATO:0000354	protein composition value
PATO:0000355	enzyme composition value
PATO:0000356	concentration value
PATO:0000357	protein concentration value
PATO:0000358	sugar concentration value
PATO:0000359	water content value
PATO:0000360	consistency value
PATO:0000361	gel consistency value
PATO:0000362	direction value
PATO:0000363	away
PATO:0000364	bi-directional
PATO:0000365	down
PATO:0000366	left
PATO:0000367	right
PATO:0000368	towards1
PATO:0000369	unidirectional
PATO:0000370	up
PATO:0000371	distance value
PATO:0000372	absolute distance value
PATO:0000373	relative distance value
PATO:0000374	increased distance
PATO:0000375	decreased distance
PATO:0000376	flavor value
PATO:0000377	frequency value
PATO:0000378	absolute frequency value
PATO:0000379	relative frequency value
PATO:0000380	increased frequency
PATO:0000381	decreased frequency
PATO:0000382	gender value
PATO:0000383	female
PATO:0000384	male
PATO:0000385	hardness value
PATO:0000386	hard
PATO:0000387	soft
PATO:0000388	intensity value
PATO:0000389	acute
PATO:0000390	extreme
PATO:0000391	intense
PATO:0000392	limited
PATO:0000393	maximal
PATO:0000394	mild intensity
PATO:0000395	moderate intensity
PATO:0000396	severe intensity
PATO:0000397	slight
PATO:0000398	vigorous
PATO:0000399	life span value
PATO:0000400	morphology value
PATO:0000401	shape value
PATO:0000402	branched
PATO:0000403	cleft
PATO:0000404	coiled
PATO:0000405	curled
PATO:0000406	curved
PATO:0000407	flat
PATO:0000409	oblate
PATO:0000410	pinnate
PATO:0000411	circular
PATO:0000413	square
PATO:0000414	unbranched
PATO:0000415	uncoiled
PATO:0000416	count value
PATO:0000417	absolute number value
PATO:0000418	relative number value
PATO:0000421	nutritional value
PATO:0000422	auxotrophic
PATO:0000423	prototrophic
PATO:0000424	occurence value
PATO:0000425	continual
PATO:0000427	recurrent
PATO:0000428	sporadic
PATO:0000430	unique
PATO:0000431	odor value
PATO:0000432	parental type value
PATO:0000433	paternal
PATO:0000434	maternal
PATO:0000435	pattern value
PATO:0000436	concrete
PATO:0000437	sleep pattern value
PATO:0000438	invariant
PATO:0000439	perseverative
PATO:0000440	regular spatial pattern
PATO:0000441	repetitive
PATO:0000442	insomnia
PATO:0000443	narcolepsy
PATO:0000444	percentage value
PATO:0000445	relative percentage value
PATO:0000446	absolute percentage value
PATO:0000447	decreased percentage
PATO:0000448	high percentage
PATO:0000449	increased percentage
PATO:0000450	low percentage
PATO:0000451	pilosity value
PATO:0000452	relative pilosity value
PATO:0000453	glabrous
PATO:0000454	hairy
PATO:0000455	pubescent
PATO:0000456	abstract
PATO:0000457	deviation(from_normal) value
PATO:0000458	presence value
PATO:0000459	relative quantity value
PATO:0000460	abnormal
PATO:0000461	normal
PATO:0000462	absent
PATO:0000463	conspicuous
PATO:0000464	inconspicuous
PATO:0000465	marked
PATO:0000466	none
PATO:0000467	present
PATO:0000469	high
PATO:0000470	present in greater numbers in organism
PATO:0000471	low
PATO:0000472	quality value
PATO:0000473	relative_quality value
PATO:0000474	shattering value
PATO:0000475	threshability value
PATO:0000476	bad value
PATO:0000477	good value
PATO:0000478	poor value
PATO:0000479	regulation value
PATO:0000480	positive regulation
PATO:0000481	negative regulation
PATO:0000482	response value
PATO:0000483	tactile hyperresponsive
PATO:0000484	tactile hyporesponsive
PATO:0000485	mild response
PATO:0000486	moderate response
PATO:0000487	responsive to
PATO:0000488	unresponsive to
PATO:0000489	vigorous response
PATO:0000490	rhythym value
PATO:0000491	sensitivity value
PATO:0000492	absolute rhythym value
PATO:0000493	amplitude value
PATO:0000494	period value
PATO:0000495	persistence value
PATO:0000496	phase value
PATO:0000497	relative rhythym value
PATO:0000498	increased duration
PATO:0000499	decreased duration
PATO:0000500	advanced phase
PATO:0000501	dark phase
PATO:0000502	delayed
PATO:0000503	light phase
PATO:0000504	arrhythmic
PATO:0000505	rhythmic
PATO:0000506	absolute sensitivity value
PATO:0000507	disease sensitivity value
PATO:0000508	relative sensitivity value
PATO:0000509	stress sensitivity value
PATO:0000510	temperature sensitivity value
PATO:0000511	absolute disease sensitivity value
PATO:0000512	relative disease sensitivity value
PATO:0000513	insensitive toward
PATO:0000514	intolerant value
PATO:0000515	tolerant to
PATO:0000516	sensitive toward
PATO:0000517	abiotic stress sensitivity value
PATO:0000518	chemical sensitivity value
PATO:0000519	humidity sensitivity value
PATO:0000520	radiation sensitivity value
PATO:0000521	drug sensitivity value
PATO:0000522	herbicide sensitivity value
PATO:0000523	insecticide sensitivity value
PATO:0000524	plant growth hormone sensitivity value
PATO:0000525	soil composition sensitivity value
PATO:0000526	absolute drug sensitivity value
PATO:0000527	relative drug sensitivity value
PATO:0000528	drug insensitive
PATO:0000529	drug sensitive
PATO:0000530	soil nutrient sensitivity value
PATO:0000531	macronutrient sensitivity value
PATO:0000532	micronutrient sensitivity value
PATO:0000533	osmotic response sensitivity
PATO:0000534	p h sensitivity value
PATO:0000535	salt sensitivity value
PATO:0000536	water sensitivity value
PATO:0000537	acid sensitivity value
PATO:0000538	alkali sensitivity value
PATO:0000539	drought sensitivity value
PATO:0000540	flooding sensitivity value
PATO:0000541	photosensitivity value
PATO:0000542	absolute photosensitivity value
PATO:0000543	light intensivity sensitivity value
PATO:0000544	light_quality sensitivity value
PATO:0000545	relative photosensitivity value
PATO:0000546	photoinsensitive
PATO:0000547	photosensitive
PATO:0000548	blue light sensitivity value
PATO:0000549	far red light sensitivity value
PATO:0000550	red light sensitivity value
PATO:0000551	u v light sensitivity value
PATO:0000552	absolute temperature sensitivity value
PATO:0000553	relative temperature sensitivity value
PATO:0000554	cold sensitive
PATO:0000555	heat sensitive
PATO:0000556	thermoinsensitive
PATO:0000557	thermosensitive
PATO:0000558	size value
PATO:0000559	absolute size value
PATO:0000560	height value
PATO:0000561	length value
PATO:0000562	mass value
PATO:0000563	relative size value
PATO:0000564	thickness value
PATO:0000565	volume value
PATO:0000566	width value
PATO:0000567	absolute height value
PATO:0000568	relative height value
PATO:0000569	decreased height
PATO:0000570	increased height
PATO:0000571	absolute length value
PATO:0000572	relative length value
PATO:0000573	increased length
PATO:0000574	decreased length
PATO:0000575	absolute mass value
PATO:0000576	relative mass value
PATO:0000577	weight value
PATO:0000580	absolute weight value
PATO:0000581	relative weight value
PATO:0000582	increased weight
PATO:0000583	decreased weight
PATO:0000584	hypertrophic
PATO:0000585	hypotrophic
PATO:0000586	increased size
PATO:0000587	decreased size
PATO:0000588	vestigial
PATO:0000589	absolute thickness value
PATO:0000590	relative thickness value
PATO:0000591	increased thickness
PATO:0000592	decreased thickness
PATO:0000593	absolute volume value
PATO:0000594	relative volume value
PATO:0000595	increased volume
PATO:0000596	decreased volume
PATO:0000597	absolute width value
PATO:0000598	relative width value
PATO:0000599	decreased width
PATO:0000600	increased width
PATO:0000601	spatial value
PATO:0000602	angle value
PATO:0000603	closure value
PATO:0000604	orientation value
PATO:0000605	placement value
PATO:0000606	absolute angle value
PATO:0000607	relative angle value
PATO:0000608	closed
PATO:0000609	closure incomplete
PATO:0000610	open
PATO:0000611	absolute orientation value
PATO:0000612	relative orientation value
PATO:0000613	disoriented
PATO:0000614	oriented
PATO:0000615	anterioralized
PATO:0000616	asymmetrical
PATO:0000617	bent
PATO:0000618	bilateral
PATO:0000619	crowded
PATO:0000620	dorsalized
PATO:0000622	erect
PATO:0000623	exserted
PATO:0000624	inserted into
PATO:0000625	inverted
PATO:0000626	lateralized
PATO:0000627	localized
PATO:0000628	mislocalised
PATO:0000629	misrouted
PATO:0000630	posterioralized
PATO:0000631	prostrate
PATO:0000632	symmetrical
PATO:0000633	uncrowded
PATO:0000634	unilateral
PATO:0000635	unlocalised
PATO:0000636	ventralized
PATO:0000637	structure value
PATO:0000638	apoptotic
PATO:0000639	degenerate
PATO:0000640	dysplastic
PATO:0000641	deposition defective
PATO:0000642	fused with
PATO:0000643	herniated
PATO:0000644	hyperplastic
PATO:0000645	hypoplastic
PATO:0000646	malformed
PATO:0000647	necrotic
PATO:0000648	obstructed
PATO:0000651	unfused from
PATO:0000652	substance value
PATO:0000653	addictive substance value
PATO:0000654	alcochol value
PATO:0000655	amphetamine value
PATO:0000656	time_quantity
PATO:0000657	length_quantity
PATO:0000658	metamphetamine value
PATO:0000659	temparature_quantity
PATO:0000660	angle_quantity
PATO:0000661	solid substance value
PATO:0000662	volume_quantity
PATO:0000663	occurrent
PATO:0000664	substance_quantity
PATO:0000665	high brightness
PATO:0000666	energy_quantity
PATO:0000667	liquid substance value
PATO:0000668	mass_quantity
PATO:0000669	concentration_unit
PATO:0000670	saccharin versus water value
PATO:0000671	water value
PATO:0000672	unit
PATO:0000673	temperature value
PATO:0000674	absolute temperature value
PATO:0000675	body temperature value
PATO:0000676	relative temperature value
PATO:0000679	temporal value
PATO:0000680	absolute temporal value
PATO:0000681	incidence value
PATO:0000682	rate value
PATO:0000683	relative temporal value
PATO:0000684	absolute incidence value
PATO:0000685	relative incidence value
PATO:0000686	absolute rate value
PATO:0000687	relative rate value
PATO:0000688	asynchronous
PATO:0000689	continuous
PATO:0000690	discontinuous
PATO:0000692	heterochronic
PATO:0000693	late
PATO:0000694	premature
PATO:0000695	synchronous
PATO:0000696	texture value
PATO:0000697	relative texture value
PATO:0000698	floury
PATO:0000699	glutinous
PATO:0000700	rough
PATO:0000701	smooth
PATO:0000702	threshold value
PATO:0000703	absolute threshold value
PATO:0000704	pain threshold value
PATO:0000705	relative threshold value
PATO:0000706	increased threshold
PATO:0000708	decreased threshold
PATO:0000710	time value
PATO:0000711	absolute time value
PATO:0000712	bouts value
PATO:0000713	relative time value
PATO:0000714	latency value
PATO:0000717	viability value
PATO:0000718	lethal (sensu genetics)
PATO:0000719	viable
PATO:0000720	yield value
PATO:0000721	absolute yield value
PATO:0000722	relative yield value
PATO:0000723	high yield
PATO:0000724	low yield
PATO:0000725	function value
PATO:0000726	autonomic function value
PATO:0000727	behavioral function value
PATO:0000728	metabolic function value
PATO:0000729	physiological function value
PATO:0000730	relative function value
PATO:0000731	body position value
PATO:0000732	body tone value
PATO:0000733	piloerection value
PATO:0000734	abdominal tone value
PATO:0000735	limb tone value
PATO:0000736	dysfunctional value
PATO:0000737	functional value
PATO:0000738	enzyme function value
PATO:0000739	absolute enzyme function value
PATO:0000740	relative enzyme function value
PATO:0000741	high enzyme function value
PATO:0000742	low enzyme function value
PATO:0000743	arousal value
PATO:0000744	balance value
PATO:0000745	behavioral quality value
PATO:0000746	consumption value
PATO:0000747	coordination value
PATO:0000748	discrimination value
PATO:0000749	gait value
PATO:0000750	learning and memory value
PATO:0000751	locomotor activity value
PATO:0000752	mating value
PATO:0000753	spontaneous activity value
PATO:0000754	startle response
PATO:0000755	vocalization value
PATO:0000756	transfer arousal value
PATO:0000757	balanced
PATO:0000758	unbalanced
PATO:0000759	bang sensitive
PATO:0000760	increased behavioural activity
PATO:0000761	decreased behavioural activity
PATO:0000762	impaired
PATO:0000763	paralysed
PATO:0000764	passive
PATO:0000765	absolute consumption value
PATO:0000766	relative consumption value
PATO:0000767	increased consumption
PATO:0000768	decreased consumption
PATO:0000769	coordinated
PATO:0000770	uncoordinated
PATO:0000771	aversion
PATO:0000772	indifference
PATO:0000773	preference
PATO:0000774	bizarre gate
PATO:0000775	learning value
PATO:0000776	memory value
PATO:0000777	long term memory value
PATO:0000778	short term memory value
PATO:0000779	absolute locomotor activity value
PATO:0000780	relative locomotor activity value
PATO:0000781	circulatory function value
PATO:0000782	defensive function value
PATO:0000783	digestive function value
PATO:0000784	excretory function value
PATO:0000785	muscle function value
PATO:0000786	neural function value
PATO:0000787	neurobehavioral function value
PATO:0000788	reproductive function value
PATO:0000789	respiratory function value
PATO:0000790	heart rate value
PATO:0000791	immune function value
PATO:0000792	repair function value
PATO:0000793	immubocompetent value
PATO:0000794	immunodeficient value
PATO:0000795	healing value
PATO:0000796	regeneration value
PATO:0000797	urination value
PATO:0000798	defecation value
PATO:0000799	muscle elevation value
PATO:0000800	muscle strength value
PATO:0000801	motor function value
PATO:0000802	sensory function value
PATO:0000803	tactile response value
PATO:0000804	motor performance value
PATO:0000805	auditory value
PATO:0000806	olfactory value
PATO:0000807	proprioreception value
PATO:0000808	reflex value
PATO:0000809	taste value
PATO:0000810	touch value
PATO:0000811	visual value
PATO:0000812	odor acuity value
PATO:0000813	odor type value
PATO:0000814	taste acuity value
PATO:0000815	absolute odor acuity value
PATO:0000816	relative odor acuity value
PATO:0000817	anosmia
PATO:0000818	concentration_quantity
PATO:0000819	quantity
PATO:0000820	absolute taste acuity value
PATO:0000821	relative taste acuity value
PATO:0000822	taste type value
PATO:0000823	quinine taste
PATO:0000824	water taste
PATO:0000825	visual ability value
PATO:0000826	visual acuity value
PATO:0000827	visual threshold value
PATO:0000828	visual placing value
PATO:0000829	absolute visual ability value
PATO:0000830	relative visual ability value
PATO:0000831	absolute visual acuity value
PATO:0000832	relative visual acuity value
PATO:0000833	absolute visual threshold value
PATO:0000834	relative visual threshold value
PATO:0000835	auditory acuity value
PATO:0000836	auditory ability value
PATO:0000837	auditory threshold value
PATO:0000838	absolute auditory ability value
PATO:0000839	relative auditory ability value
PATO:0000840	absolute auditory acuity value
PATO:0000841	relative auditory acuity value
PATO:0000842	absolute auditory threshold value
PATO:0000843	relative auditory threshold value
PATO:0000844	auditory acuity
PATO:0000845	auditory ability
PATO:0000846	auditory threshold
PATO:0000847	absolute auditory acuity
PATO:0000848	relative auditory acuity
PATO:0000849	absolute auditory ability
PATO:0000850	relative auditory ability
PATO:0000851	absolute auditory threshold
PATO:0000852	relative auditory threshold
PATO:0000853	blinking reflex value
PATO:0000854	contact righting reflex value
PATO:0000855	corneal reflex value
PATO:0000856	flinch reflex value
PATO:0000857	lordosis reflex value
PATO:0000858	ocular reflex value
PATO:0000859	pinna reflex value
PATO:0000860	postural reflex value
PATO:0000861	proboscis extension reflex value
PATO:0000862	pupillary reflex value
PATO:0000863	righting reflex value
PATO:0000864	spinal reflex value
PATO:0000865	startle reflex value
PATO:0000866	suckling reflex value
PATO:0000867	swallowing reflex value
PATO:0000868	vibrissae reflex value
PATO:0000869	prepulse inhibition value
PATO:0000870	relative neurobehavioral function value
PATO:0000871	aggressive
PATO:0000872	anxious
PATO:0000873	cataleptic
PATO:0000874	fearful
PATO:0000875	irritable
PATO:0000876	respiratory rate value
PATO:0000877	absolute respiratory rate value
PATO:0000878	relative respiratory rate value
PATO:0000879	fecundity value
PATO:0000880	fertility value
PATO:0000881	gestational period value
PATO:0000882	litter size value
PATO:0000883	female fertility value
PATO:0000884	hybrid fertility value
PATO:0000885	male fertility value
PATO:0000886	absolute litter size value
PATO:0000887	relative litter size value
PATO:0000888	female fertile
PATO:0000889	cytoplasmic male sterility value
PATO:0000890	male sterile
PATO:0000891	male fertile
PATO:0000892	female sterile
PATO:0000893	backcross fertility value
PATO:0000894	cytoplasmic sterility value
PATO:0000895	f1 fertility value
PATO:0000896	f2 fertility value
PATO:0000897	germ line dependent fertility value
PATO:0000898	intercross fertility value
PATO:0000899	soma dependent fertility value
PATO:0000900	backcross fertile
PATO:0000901	backcross sterile
PATO:0000902	chinsurah boro type value
PATO:0000903	cms-hl type value
PATO:0000904	wild abortive value
PATO:0000905	f1 fertile
PATO:0000906	f1 sterile
PATO:0000907	f2 fertile
PATO:0000908	f2 sterile
PATO:0000909	intercross fertile
PATO:0000910	intercross sterile
PATO:0000911	decreased rate
PATO:0000912	increased rate
PATO:0000913	qualitative value
PATO:0000914	continuant
PATO:0000915	thickness
PATO:0000916	absolute thickness
PATO:0000917	relative thickness
PATO:0000918	volume
PATO:0000919	absolute volume
PATO:0000920	relative volume
PATO:0000921	width
PATO:0000922	absolute width
PATO:0000923	relative width
PATO:0000924	relative enzyme function
PATO:0000925	absolute enzyme function
PATO:0000926	intercross fertility
PATO:0000927	photosensitivity
PATO:0000928	absolute photosensitivity
PATO:0000929	light intensivity sensitivity
PATO:0000930	light_quality sensitivity
PATO:0000931	blue light sensitivity
PATO:0000932	far red light sensitivity
PATO:0000933	red light sensitivity
PATO:0000934	u v light sensitivity
PATO:0000935	relative photosensitivity
PATO:0000936	truncated
PATO:0000937	disorganized
PATO:0000938	organized
PATO:0000939	regular shape
PATO:0000940	obsolete irregular shape
PATO:0000941	vacuolated
PATO:0000944	sharpness
PATO:0000945	epinastic
PATO:0000946	oblong
PATO:0000947	elliptic
PATO:0000948	heart shaped
PATO:0000949	fasciated
PATO:0000950	grey
PATO:0000951	purple
PATO:0000952	brown
PATO:0000953	orange
PATO:0000954	pink
PATO:0000955	fertile
PATO:0000956	sterile
PATO:0000957	opacity
PATO:0000958	opacity value
PATO:0000959	relative opacity
PATO:0000960	absolute opacity
PATO:0000961	relative opacity value
PATO:0000962	absolute opacity value
PATO:0000963	opaque
PATO:0000964	transparent
PATO:0000965	symmetry
PATO:0000966	symmetry value
PATO:0000967	undulate
PATO:0000968	albino value
PATO:0000969	dwarf-like
PATO:0000970	permeability
PATO:0000971	absolute permeability
PATO:0000972	relative permeability
PATO:0000973	porosity
PATO:0000974	relative porosity
PATO:0000975	absolute porosity
PATO:0000976	permeability value
PATO:0000977	absolute permeability value
PATO:0000978	relative permeability value
PATO:0000979	porosity value
PATO:0000980	absolute porosity value
PATO:0000981	relative porosity value
PATO:0000982	permeable
PATO:0000983	impermeable
PATO:0000984	porous
PATO:0000985	non-porous
PATO:0000986	absolute consistency
PATO:0000987	relative consistency
PATO:0000988	relative consistency value
PATO:0000989	absolute consistency value
PATO:0000990	consistent
PATO:0000991	inconsistent
PATO:0000992	viscosity
PATO:0000993	relative viscosity
PATO:0000994	absolute viscosity
PATO:0000995	viscosity value
PATO:0000996	absolute viscosity value
PATO:0000997	relative viscosity value
PATO:0000998	viscous
PATO:0000999	alternation
PATO:0001000	relative alternation
PATO:0001001	absolute alternation
PATO:0001002	alternation value
PATO:0001003	relative alternation value
PATO:0001004	absolute alternation value
PATO:0001005	latency
PATO:0001006	absolute latency
PATO:0001007	relative latency
PATO:0001008	absolute latency value
PATO:0001009	relative latency value
PATO:0001010	relative intensity
PATO:0001011	absolute intensity
PATO:0001012	relative intensity value
PATO:0001013	absolute intensity value
PATO:0001014	absolute occurence
PATO:0001015	relative occurence
PATO:0001016	absolute occurence value
PATO:0001017	relative occurence value
PATO:0001018	physical quality
PATO:0001019	mass density
PATO:0001020	damage
PATO:0001021	energy
PATO:0001022	impulse
PATO:0001023	momentum
